text,label
Mexican fans spot a South Korean fan and immediately adopt him,media
"Salah in reply to UEFA: “Can you tell us how he died, where, and why?”",media
Norway's football team official photo for World Cup 2026,media
[Marca] Liverpool footballer Diogo Jota dies in a traffic accident early this morning in the province of Zamora.,media
Benfica [4] - 2 Real Madrid - Anatoliy Trubin 90+8' (Goalkeeper),goal_clip
A duck in Mexico wearing a Mexican jersey,media
Lamine Yamal raises Palestine Flag during parade,media
Diogo Jota's last career goal,media
Manchester City fan celebrates with an Arsenal bottle,media
This Ref Cam of the Thuram Brothers during a Foul,media
"Manchester United has been eliminated from League Cup by Grimsby Town ,who plays in the 4th league of England",stats
"[L'Equipe] Jürgen Klopp: ""Football is being held hostage by executives in air-conditioned offices. These so-called 'cooling breaks' were sold to us as a shield for the players' well-being, a noble sword against the heat. But in reality? It's nothing more than a gilded cage built for sponsors.""",media
"Eric Cantona: ""Four days after Russia started the war in Ukraine. FIFA and UEFA suspended Russia. We are now 716 days into what Amnesty International have called a genocide. And yet, Israel continue to be allowed to participate."" [Great Speech]",media
Cole Palmer confused (and protesting?) Trump joining Chelsea celebration,media
"Norway fans chant ""Free Palestine"" vs Israel",media
[Official] Arsenal crowned 2025/26 Premier League Champions.,media
"Salah, standing alone and crying, while the fans cheer Jota's name.",media
Kvaratskhelia stops M'Bappé and nutmegs Güler,media
Alternate angles of McTominay bicycle kick goal vs Denmark,media
Lamine Yamal’s run and dribble against PSG 1’,media
Manuel Neuer first touch during warm up against Augsburg,media
"Australian World Cup fans were caught chanting: “Aussie boys are on a bender, Donald Trump is a sex offender.""",media
"Goalkeeper in Istanbul's amateur league hit a seagull; a player performed CPR, resuscitated it, and handed it to medical staff.",media
"Di Maria walking over and hitting the refree with the ""Wouldn't take that if were you"" look to send off C. Izquierdoz in yesterday's match against Lanus",media
Argentina [3] - 0 Algeria - Lionel Messi 76‎'‎ hat-trick,goal_clip
Jose's reaction to Trubin's last minute goal,media
Norway players and fans doing Viking Row,media
Iceland's Daniel Gudjohnsen introducing himself to Lionel Messi post-match and reminding him that his dad was Messi's former Barcelona teammate,media
A fan's angle of Harry Kane's goal against Frankfurt,media
Bayern Munich [4] - 3 Real Madrid - Michael Olise 90'+4' [6-4 on agg.],media
The moment Arsenal found out they became Champions of England,media
Ireland winning goal and end of match with Irish commentary,media
"Cristiano Ronaldo ""It doesn't make sense. Just now we were together in the National Team, just now you had gotten married. To your family, your wife, and your children, I send my condolences and wish them all the strength in the world. I know you will always be with them. Rest in Peace",media
Scenes as Albacete defeat Real Madrid in the Copa del Rey,media
Atletico Madrid fan literally making sandwiches while 4-1 against Spurs,media
Goalkeeper Trubin celebration after scoring a header,media
"An amateur football team from South Africa, scored a goal after annoying their opponents for TWO MINUTES with exhibitory skills.",media
Roma awarded penalty. The Penalty had to be retaken twice. Lille goalkeeper Berke Özer saved all 3 attempts,media
Clearer angle of Morgan Gibbs-White's great goal vs Manchester City,media
USA [1] - 1 Germany - Antonee Robinson great goal 37',goal_clip
Cinematic slow-motion video of Harry Kane's second goal Vs Atalanta,media
Cristiano Ronaldo reaction to his red card vs Ireland,media
Alternate angles of Harry Kane's perfectly placed strike against Wolfsburg 69',goal_clip
"Telemundo TV commentator: ""We are one of the only networks in the world to not show ads during the World Cup cooling breaks. We prefer the old school way. We should be able to see what the players do. We show fans, people enjoying, not the corporate direction of football.""",media
Harry Kane skill to keep possession against PSG 77',media
Rayan Cherki posing for camera after Ben White's tackle,media
Thiaguinho scores a panenka penalty vs Paraguay’s goalkeeper after the latter kept taunting him,media
Banner seen at USA vs Australia,media
